Series,Year,Purchases
Carcase meat,1984,104.3848966081
Non-carcase meat and meat products,1984,167.1704431305
Fish,1984,41.2435663114
Eggs,1984,19.2461102562
Fats,1984,35.5460156104
Sugar and preserves,1984,21.9437778392
Fresh and processed potatoes,1984,52.8160879556
"Fresh and processed vegetables, excluding potatoes",1984,75.072533172
Fresh and processed fruit,1984,61.6187313247
Bread,1984,55.9547791555
Flour,1984,3.5728138326
"Cakes, buns and pastries",1984,29.4702040103
Biscuits and crispbreads,1984,30.7129660831
Other cereals and cereal products,1984,42.4032935907
Beverages,1984,43.1437699388
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1984,38.7359316315
Soft drinks,1984,0
Confectionery,1984,0
Alcoholic drinks,1984,0
Milk and milk products excluding cheese,1985,102.7075863561
Cheese,1985,31.1914016038
Carcase meat,1985,110.2140921772
Non-carcase meat and meat products,1985,171.8750118052
Fish,1985,44.9764251611
Eggs,1985,19.3129921498
Fats,1985,36.9818158599
Sugar and preserves,1985,20.5816229274
Fresh and processed potatoes,1985,47.3573705839
"Fresh and processed vegetables, excluding potatoes",1985,81.5254885589
Fresh and processed fruit,1985,65.7632396823
Bread,1985,58.6880665371
Flour,1985,3.4607608321
"Cakes, buns and pastries",1985,30.6191158413
Biscuits and crispbreads,1985,31.8581731713
Other cereals and cereal products,1985,46.1330930299
Beverages,1985,46.8270486118
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1985,40.5159344146
Soft drinks,1985,0
Confectionery,1985,0
Alcoholic drinks,1985,0
Milk and milk products excluding cheese,1986,108.3812186041
Cheese,1986,33.7986773227
Carcase meat,1986,112.6815228509
Non-carcase meat and meat products,1986,182.3254977342
Fish,1986,50.9539197746
Eggs,1986,18.5315968697
Fats,1986,36.5510645586
Sugar and preserves,1986,20.7563417647
Fresh and processed potatoes,1986,54.2171247227
"Fresh and processed vegetables, excluding potatoes",1986,91.042737885
Fresh and processed fruit,1986,76.1831910754
Bread,1986,65.1135194044
Flour,1986,3.8830463098
"Cakes, buns and pastries",1986,32.5990621603
Biscuits and crispbreads,1986,34.3482248952
Other cereals and cereal products,1986,52.7608437001
Beverages,1986,49.5624226976
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1986,45.2036738091
Soft drinks,1986,0
Confectionery,1986,0
Alcoholic drinks,1986,0
Milk and milk products excluding cheese,1987,112.8636218912
Cheese,1987,34.0783587349
Carcase meat,1987,110.4436006305
Non-carcase meat and meat products,1987,194.4684597446
Fish,1987,54.1061798335
Eggs,1987,18.8314782448
Fats,1987,33.7331320805
Sugar and preserves,1987,20.5934316162
Fresh and processed potatoes,1987,62.7200472714
"Fresh and processed vegetables, excluding potatoes",1987,96.5403189245
Fresh and processed fruit,1987,80.7767077385
Bread,1987,66.5907096186
Flour,1987,3.9050154868
"Cakes, buns and pastries",1987,35.3721049427
Biscuits and crispbreads,1987,35.843474353
Other cereals and cereal products,1987,57.6911131221
Beverages,1987,47.9092013579
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1987,47.2437594115
Soft drinks,1987,0
Confectionery,1987,0
Alcoholic drinks,1987,0
Milk and milk products excluding cheese,1988,117.5214694086
Cheese,1988,38.0659924885
Carcase meat,1988,114.4922683804
Non-carcase meat and meat products,1988,202.6591830931
Fish,1988,58.6132941645
Eggs,1988,17.7075018732
Fats,1988,34.9755341152
Sugar and preserves,1988,20.9319876266
Fresh and processed potatoes,1988,61.4215669493
"Fresh and processed vegetables, excluding potatoes",1988,105.6451625168
Fresh and processed fruit,1988,88.2814603041
Bread,1988,70.9159705393
Flour,1988,3.8432695605
"Cakes, buns and pastries",1988,37.1245289382
Biscuits and crispbreads,1988,37.7163760322
Other cereals and cereal products,1988,63.7536268647
Beverages,1988,48.7269384401
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1988,50.693524707
Soft drinks,1988,0
Confectionery,1988,0
Alcoholic drinks,1988,0
Milk and milk products excluding cheese,1989,126.5379264724
Cheese,1989,39.8825482815
Carcase meat,1989,122.4623076527
Non-carcase meat and meat products,1989,224.4986273574
Fish,1989,64.1774550987
Eggs,1989,16.2548759364
Fats,1989,36.5690877529
Sugar and preserves,1989,20.8187537715
Fresh and processed potatoes,1989,66.5466983332
"Fresh and processed vegetables, excluding potatoes",1989,111.887144657
Fresh and processed fruit,1989,93.8463145424
Bread,1989,73.0893408146
Flour,1989,3.8135520165
"Cakes, buns and pastries",1989,38.6627092435
Biscuits and crispbreads,1989,39.9401331846
Other cereals and cereal products,1989,72.2996407097
Beverages,1989,49.7002196131
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1989,56.322284132
Soft drinks,1989,0
Confectionery,1989,0
Alcoholic drinks,1989,0
Milk and milk products excluding cheese,1990,133.6093774541
Cheese,1990,41.308935885
Carcase meat,1990,115.5267959363
Non-carcase meat and meat products,1990,244.4838641159
Fish,1990,67.7842744983
Eggs,1990,17.8643698889
Fats,1990,36.658505454
Sugar and preserves,1990,21.2655147641
Fresh and processed potatoes,1990,73.9801084323
"Fresh and processed vegetables, excluding potatoes",1990,120.7174280094
Fresh and processed fruit,1990,104.91383781
Bread,1990,73.9463771607
Flour,1990,3.7157610456
"Cakes, buns and pastries",1990,42.2267433014
Biscuits and crispbreads,1990,42.4321882165
Other cereals and cereal products,1990,80.3267466747
Beverages,1990,49.8764710288
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1990,60.5124103179
Soft drinks,1990,0
Confectionery,1990,0
Alcoholic drinks,1990,0
Milk and milk products excluding cheese,1991,141.1436957373
Cheese,1991,43.3169225228
Carcase meat,1991,117.8711472199
Non-carcase meat and meat products,1991,244.0859099523
Fish,1991,67.6094741324
Eggs,1991,18.4301411331
Fats,1991,37.0353566491
Sugar and preserves,1991,22.9965950467
Fresh and processed potatoes,1991,74.9648044013
"Fresh and processed vegetables, excluding potatoes",1991,130.8631652228
Fresh and processed fruit,1991,116.7313471865
Bread,1991,74.022421486
Flour,1991,3.7107852906
"Cakes, buns and pastries",1991,43.6298953963
Biscuits and crispbreads,1991,43.6497389416
Other cereals and cereal products,1991,91.6567484188
Beverages,1991,53.21801124
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1991,69.4400993824
Soft drinks,1991,0
Confectionery,1991,0
Alcoholic drinks,1991,0
Milk and milk products excluding cheese,1992,151.5986125348
Cheese,1992,45.9305202079
Carcase meat,1992,107.5996634972
Non-carcase meat and meat products,1992,259.5124086225
Fish,1992,69.5007003487
Eggs,1992,17.1892185478
Fats,1992,38.4945498456
Sugar and preserves,1992,21.4237832672
Fresh and processed potatoes,1992,82.3718657686
"Fresh and processed vegetables, excluding potatoes",1992,130.3733539961
Fresh and processed fruit,1992,112.8808208357
Bread,1992,75.9134208278
Flour,1992,3.9155988946
"Cakes, buns and pastries",1992,45.1053315529
Biscuits and crispbreads,1992,45.5750833348
Other cereals and cereal products,1992,100.1672241004
Beverages,1992,50.4530875442
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1992,75.3648843291
Soft drinks,1992,47.285744038
Confectionery,1992,55.9036098663
Alcoholic drinks,1992,151.0045260554
Milk and milk products excluding cheese,1993,153.5458305106
Cheese,1993,47.6591383677
Carcase meat,1993,110.6191389592
Non-carcase meat and meat products,1993,284.480910817
Fish,1993,73.6328392931
Eggs,1993,16.2294887079
Fats,1993,37.6162952745
Sugar and preserves,1993,21.5196622335
Fresh and processed potatoes,1993,84.7753205973
"Fresh and processed vegetables, excluding potatoes",1993,132.0851838763
Fresh and processed fruit,1993,110.8684199702
Bread,1993,75.6361381101
Flour,1993,3.7918123014
"Cakes, buns and pastries",1993,47.2649509564
Biscuits and crispbreads,1993,46.3730100278
Other cereals and cereal products,1993,97.160829992
Beverages,1993,48.7824692341
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1993,76.017806233
Soft drinks,1993,49.3024685843
Confectionery,1993,59.5671421094
Alcoholic drinks,1993,158.0297901554
Milk and milk products excluding cheese,1994,149.6091275622
Cheese,1994,46.7652194511
Carcase meat,1994,104.5077774461
Non-carcase meat and meat products,1994,285.205516218
Fish,1994,73.0646040471
Eggs,1994,15.8754859871
Fats,1994,37.042480013
Sugar and preserves,1994,20.3172505698
Fresh and processed potatoes,1994,92.0487511726
"Fresh and processed vegetables, excluding potatoes",1994,133.0577321869
